REGISTRY_I,PRIMARY_NA,LOCATION_A,CITY_NAME,COUNTY_NAM,STATE_CODE,POSTAL_COD,lat,lng,FAC_URL,PGM_SYS_ID,Name,In_SFHA,lat,lng,logo_url
1.10E+11,SHERWIN ALUMINA PLANT,HIGHWAY 361,INGLESIDE,SAN PATRICIO,TX,78362,27.87248,-97.18426,http://oaspub.epa.gov/enviro/fac_gateway.main?p_regid=110056965388,100607927,Aransas Bay,No,27.87248,-97.18426,https://data.femadata.com/Region6/tspws/img/logo/TSCA.PNG
1.10E+11,AIR LIQUIDE AMERICA INGLESIDE HPU ASU PLANT,4015 HIGHWAY 361,INGLESIDE,SAN PATRICIO,TX,78362,27.87581,-97.17518,http://oaspub.epa.gov/enviro/fac_gateway.main?p_regid=110033444468,TSCA9179,Aransas Bay,No,27.87581,-97.17518,https://data.femadata.com/Region6/tspws/img/logo/TSCA.PNG
1.10E+11,AIR LIQUIDE AMERICA INGLESIDE HPU ASU PLANT,4015 HIGHWAY 361,INGLESIDE,SAN PATRICIO,TX,78362,27.87581,-97.17518,http://oaspub.epa.gov/enviro/fac_gateway.main?p_regid=110033444468,100604443,Aransas Bay,No,27.87581,-97.17518,https://data.femadata.com/Region6/tspws/img/logo/TSCA.PNG
