OBJECTID,HUC12,NAME,lat,lng
1,121102020101,City of Robstown,27.825735353403900,-97.679682576389780
55,121102020102,West Oso Creek-Oso Creek,27.770221839366457,-97.582511841048586
56,121102020106,Oso Creek-Frontal Oso Bay,27.688555714674521,-97.349031542171872
98,121102020105,Dean Airport-Oso Creek,27.633615363758054,-97.452587935284953
151,121102020103,Corpus Christi International Airport-Oso Creek,27.736318852433158,-97.491726213993559
152,121102020200,Frontal Corpus Christi Bay,27.751537840199205,-97.227915184638050
237,121102020104,Cabaniss Field Naval Outlying Landing Field-Oso Creek,27.692902597676778,-97.425320292097751
239,121102020300,South Jetty-Gulf of Mexico,27.709718730135364,-97.107392989394896
336,121102020107,Tule Lake,27.811806746184459,-97.465567979878358
