OBJECTID,HUC12,NAME,lat,lng
41,120402020300,Spindletop Ditch,29.672510380849474,-94.400734669769179
82,120402020400,Cane Bayou,29.518173696458973,-94.673156237370449
97,120402020500,120402020500-Gulf of Mexico,29.548567542258297,-94.273264574100779
269,120402020100,East Fork Double Bayou,29.720024926209419,-94.656747794575040
374,120402020200,Spindletop Bayou,29.888042542729238,-94.463842295685367
