City,SFHA,In_SFHA,lat,lng,Watershed,logo_url
Port Aransas,1,No,27.84365,-97.07008,Aransas Bay,img/ferry.png
St. Joseph Island,1,No,27.95202,-96.98724,Aransas Bay,img/ferry.png
