City,SFHA,In_SFHA,lat,lng,Watershed,logo_url
PORTLAND,0,No,27.9969,-97.2461,Aransas Bay,img/fm_towers.png
REFUGIO,0,No,28.3958,-97.1781,Aransas Bay,img/fm_towers.png
