Name_1,SFHA,In_SFHA,lat,lng,Watershed,logo_url
Aransas Bay,1,Yes,27.882202,-97.154468,Aransas Bay,img/heliport.png
Aransas Bay,0,No,28.03722,-97.05639,Aransas Bay,img/heliport.png
