County,City,SFHA,In_SFHA,lat,lng,Watershed,logo_url
SAN PATRICIO,INGLESIDE,0,No,27.8276526,-97.2008635,Aransas Bay,img/fire.png
SAN PATRICIO,ARANSAS PASS,0,No,27.9103903,-97.1498325,Aransas Bay,img/fire.png
ARANSAS,ROCKPORT,0,No,27.9725145,-97.0961954,Aransas Bay,img/fire.png
ARANSAS,ROCKPORT,0,No,28.0248521,-97.0562992,Aransas Bay,img/fire.png
ARANSAS,ROCKPORT,0,No,28.02787,-97.079978,Aransas Bay,img/fire.png
ARANSAS,ROCKPORT,0,No,28.0566633,-97.0429994,Aransas Bay,img/fire.png
REFUGIO,BAYSIDE,0,No,28.0951376,-97.2149592,Aransas Bay,img/fire.png
ARANSAS,ROCKPORT,0,No,28.169262,-96.9977621,Aransas Bay,img/fire.png
