County,City,Name_1,SFHA,In_SFHA,lat,lng,Watershed,logo_url
SAN PATRICIO,ARANSAS PASS,Aransas Bay,0,No,27.9104402,-97.1496474,Aransas Bay,img/eoc.png
ARANSAS,ROCKPORT,Aransas Bay,0,No,28.0256501,-97.0540399,Aransas Bay,img/eoc.png
