NAME,lat,lng,logo_url
ROCKPORT FULTON JUNIOR HIGH SCHOOL,28.045255,-97.045908,https://data.femadata.com/Region6/tspws/img/logo/Shelters.PNG
FIRST UNITED METHODIST CHURCH,28.021828,-97.053589,https://data.femadata.com/Region6/tspws/img/logo/Shelters.PNG
GREGORY HOUSING AUTHORITY CONF CNTR,27.92659,-97.286058,https://data.femadata.com/Region6/tspws/img/logo/Shelters.PNG

