NAME,ADDRESS,CITY,STATE,ZIP,TYPE,COUNTY,EVAC_CAP,POST_CAP,SFHA,In_SFHA,lat,lng,Watershed,logo_url
BAYTOWN JUNIOR HIGH,7707 BAYWAY,BAYTOWN,TX,77520,BOTH,HARRIS,1069,534,0,No,29.77807694,-95.03298535,Buffalo-San Jacinto,img/shelters.png
STERLING HIGH SCHOOL,300 W BAKER,BAYTOWN,TX,77521,BOTH,HARRIS,1123,561,0,No,29.77113301,-94.96944511,Buffalo-San Jacinto,img/shelters.png
LEE HIGH SCHOOL ANNEX,1906 DECKER DRIVE,BAYTOWN,TX,77520,POST,HARRIS,0,115,0,No,29.74222475,-94.98184328,Buffalo-San Jacinto,img/shelters.png
MAGNOLIA MULTI SERVICE CENTER,7037 CAPITOL,HOUSTON,TX,77011,POST,HARRIS,120,62,0,No,29.73455457,-95.30087888,Buffalo-San Jacinto,img/shelters.png
SAINT THOMAS AQUINAS CATHOLIC CHURCH,12627 WEST BELLFORT AVENUE,SUGAR LAND,TX,77478,EVAC,FORT BEND,300,0,0,No,29.65953046,-95.60388485,Buffalo-San Jacinto,img/shelters.png
VICTORY IN JESUS - EVANGELISTIC CENTER CHURCH,4740 WEST OREM DRIVE,HOUSTON,TX,77045,EVAC,HARRIS,100,50,0,No,29.62782966,-95.45143334,Buffalo-San Jacinto,img/shelters.png
ADVENT LUTHERAN CHURCH,5820 PINEMONT,HOUSTON,TX,77092,EVAC,HARRIS,360,0,0,No,29.84093825,-95.4770707,Buffalo-San Jacinto,img/shelters.png
LA VOZ DEL SALVADOR,214 ADAMS ST,HOUSTON,TX,77011,EVAC,HARRIS,200,0,0,No,29.74393757,-95.32438291,Buffalo-San Jacinto,img/shelters.png
IGLESIA FUENTE DE AGUA VIVA,3335 WATTERS RD,PASADENA,TX,77504,EVAC,HARRIS,50,150,0,No,29.66139218,-95.1789908,Buffalo-San Jacinto,img/shelters.png
NOTRE DAME CHURCH,7720 BOONE ROAD,HOUSTON,TX,77072,EVAC,HARRIS,250,125,1,Yes,29.69418927,-95.57722921,Buffalo-San Jacinto,img/shelters.png
HOUSE OF REFUGE,2401 E THOMAS AVE,PASADENA,TX,77506,EVAC,HARRIS,50,300,0,No,29.70725626,-95.18155669,Buffalo-San Jacinto,img/shelters.png
SALEM EVANGELICAL LUTHERAN CHURCH,4930 W BELLFORT AVE,HOUSTON,TX,77035,EVAC,HARRIS,252,126,1,Yes,29.67064891,-95.46387968,Buffalo-San Jacinto,img/shelters.png
MISSOURI CITY COMMUNITY CENTER,1522 TEXAS PARKWAY,MISSOURI CITY,TX,77459,EVAC,FORT BEND,289,145,0,No,29.60541821,-95.52883325,Buffalo-San Jacinto,img/shelters.png
THIRD WARD MULTI-SVC CENTER,3611 ENNIS ST,HOUSTON,TX,77004,EVAC,HARRIS,250,104,0,No,29.72831781,-95.36161585,Buffalo-San Jacinto,img/shelters.png
HIGHLANDS JUNIOR SCHOOL,1212 W WALLISVILLE RD,HIGHLANDS,TX,77562,EVAC,HARRIS,100,478,0,No,29.82131987,-95.0400846,Buffalo-San Jacinto,img/shelters.png
