OBJECTID,HUC12,NAME,lat,lng
27,120401010206,Town Creek-Conroe Lake,30.387538151564513,-95.624458172306788
72,120401010303,Kidhaw Branch-Lake Creek,30.467389936296570,-95.782378117256258
73,120401010301,Flagtail Creek-Lake Creek,30.587458729336959,-95.862283029438231
74,120401010101,Rocky Creek-West Fork San Jacinto River,30.705554269513982,-95.767162716885821
117,120401010306,Town of Dobbin-Lake Creek,30.346478554941427,-95.804861534432234
118,120401010308,Mound Creek-Lake Creek,30.286984743151436,-95.603163282959088
119,120401010204,Hostetter Creek-Conroe Lake,30.485171822821428,-95.571908238274546
124,120401010207,White Oak Creek-West Fork San Jacinto River,30.333642783187940,-95.518433639300952
129,120401010502,San Jacinto Dam-Frontal Lake Houston,29.963291143071842,-95.152666118846298
170,120401010302,Garretts Creek,30.521096203327147,-95.896709430795568
171,120401010203,Caney Creek,30.539533981608031,-95.719264550418643
173,120401010402,Little Caney Creek-West Fork San Jacinto River,30.240857081888862,-95.430769872931251
175,120401010202,McDonald Creek-West Fork San Jacinto River,30.583432350322767,-95.591683143861985
208,120401010305,Sand Creek-Caney Creek,30.398457836759803,-95.887960025534710
209,120401010205,Little Lake Creek-Conroe Lake,30.447472021416729,-95.659186196385804
210,120401010104,Robinson Creek-West Fork San Jancinto River,30.655854359890839,-95.639136368948243
214,120401010401,Stewarts Creek-West Fork San Jacinto River,30.315052125555212,-95.467815467909475
309,120401010307,Landrum Creek-Lake Creek,30.306207012643597,-95.715007641889144
310,120401010102,McGary Creek,30.721448164301421,-95.641976682477889
316,120401010403,Crystal Creek,30.329279670120741,-95.397952528686233
317,120401010201,East Sandy Creek,30.626873036961115,-95.521013394952206
360,120401010304,Haynie Creek-Little Caney Creek,30.447729660995094,-95.864880955891351
361,120401010103,West Sandy Creek,30.617516569534132,-95.753543729159730
365,120401010404,White Oak Creek-West Fork San Jacinto River,30.137221699521888,-95.348030693361750
368,120401010501,Bens Branch-Frontal Lake Houston,30.047055360916204,-95.216011460760285
