NAME,ADDRESS,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,EVAC_CAP,POST_CAP,SFHA,In_SFHA,lat,lng,Watershed,logo_url
DIOCESE OF BEAUMONT -- ST. CHARLES CATHOLIC CHURCH,211 HARDY,NEDERLAND,TX,77627,POST,OPEN,JEFFERSON,0,116,0,No,29.96235064,-93.99901686,Sabine Lake,img/shelters.png
BLANCHETTE ELEMENTARY,2400 LELA ST,BEAUMONT,TX,77705,POST,OPEN,JEFFERSON,0,367,0,No,30.04615432,-94.1107784,Sabine Lake,img/shelters.png
GROVES ACTIVITY BUILDING,6150 39TH ST,GROVES,TX,77619,POST,OPEN,JEFFERSON,1600,0,0,No,29.94557945,-93.91862853,Sabine Lake,img/shelters.png
BINGMAN ELEMENTARY,5265 S KENNETH,BEAUMONT,TX,77705,POST,OPEN,JEFFERSON,0,5,0,No,30.03499077,-94.0879569,Sabine Lake,img/shelters.png
GROVES SENIOR CITIZEN CENTER,5649 W WASHINGTON,GROVES,TX,77619,POST,OPEN,JEFFERSON,0,39,0,No,29.94342639,-93.92490254,Sabine Lake,img/shelters.png
PIETZCH ELEMENTARY,4301 HIGHLAND AVE,BEAUMONT,TX,77705,POST,OPEN,JEFFERSON,0,60,0,No,30.04451886,-94.08418227,Sabine Lake,img/shelters.png
MARSHALL MIDDLE SCHOOL,6455 GLADYS,BEAUMONT,TX,77706,POST,OPEN,JEFFERSON,0,878,0,No,30.09057639,-94.17244376,Sabine Lake,img/shelters.png
ODOM ACADEMY,2550 WEST VIRGINIA,BEAUMONT,TX,77705,POST,OPEN,JEFFERSON,0,858,0,No,30.04281957,-94.11068436,Sabine Lake,img/shelters.png
DIOCESE OF BEAUMONT -- OUR MOTHER OF MERCY CATHOLIC CH,3390 SARAH ST,BEAUMONT,TX,77705,POST,OPEN,JEFFERSON,0,150,0,No,30.04590737,-94.11979658,Sabine Lake,img/shelters.png
PRICE ELEMENTARY,3350 WAVERLY,BEAUMONT,TX,77705,POST,OPEN,JEFFERSON,0,149,0,No,30.05370616,-94.12322639,Sabine Lake,img/shelters.png
GROVES ELEMENTARY,3901 CLEVELAND AVE,GROVES,TX,77619,POST,OPEN,JEFFERSON,0,182,0,No,29.94954677,-93.91419263,Sabine Lake,img/shelters.png
ST. PETER CHURCH,2049 TAFT,GROVES,TX,77619,POST,OPEN,JEFFERSON,0,145,1,Yes,29.94398247,-93.89330275,Sabine Lake,img/shelters.png
WEST BROOK HIGH SCHOOL,8750 PHELAN,BEAUMONT,TX,77706,POST,OPEN,JEFFERSON,1600,0,0,No,30.0790879,-94.19673324,Sabine Lake,img/shelters.png
WESTLY UNITED METHODIST CHURCH,3890 DOWLEN RD,BEAUMONT,TX,77706,POST,OPEN,JEFFERSON,40,0,0,No,30.11456645,-94.16750696,Sabine Lake,img/shelters.png
SAINT PAUL UNITED METHODIST CHURCH,4445 PERSHING,BEAUMONT,TX,77705,POST,OPEN,JEFFERSON,0,25,0,No,30.04347087,-94.08685245,Sabine Lake,img/shelters.png
GROVES MIDDLE SCHOOL,5201 WILSON AVE,GROVES,TX,77619,POST,OPEN,JEFFERSON,56,0,0,No,29.95808539,-93.92462027,Sabine Lake,img/shelters.png
