OBJECTID,HUC12,NAME,lat,lng
23,120701040106,Lewisville Creek-Brazos River,30.056988884629391,-96.105516051424615
25,120701040409,Dry Bayou-Brazos River,29.432957380179005,-95.589792723954986
65,120701040206,Middle West Mill Creek,30.014929170844596,-96.514988165471436
69,120701040303,Dry Branch-Bessies Creek,29.879610012691955,-95.998657366644125
75,120701040503,Upper Dry Bayou,29.205722049133328,-95.580493725904716
76,120701040403,Steep Bank Creek-Brazos River,29.545608233133521,-95.587847669334451
107,120701040207,Post Oak Point Creek-Sandy Creek,29.934289593490007,-96.491755147182232
108,120701040209,Sandy Creek-Mill Creek,29.901556709974216,-96.296336580069067
111,120701040305,Lower Allens Creek,29.738539263776033,-96.141752357285441
112,120701040307,Cannons Lake-Brazos River,29.737296266709393,-96.028478516969926
113,120701040407,Worthington Lake-Big Creek,29.425438642279573,-95.684107898660557
162,120701040203,Jackson Creek-East Mill Creek,30.094561422971367,-96.441065511164368
163,120701040201,Indian Creek-East Mill Creek,30.183098788977986,-96.548596972472239
164,120701040304,Bullinger Creek-Brazos River,29.810714884284550,-96.128885248655251
193,120701040205,Upper West Mill Creek,30.096592593973071,-96.597247141242519
199,120701040401,Sandy Branch-Brazos River,29.596190523373991,-95.878429494325644
200,120701040108,Ives Creek-Brazos River,29.995859853549462,-96.163652902259571
203,120701040406,Fairchilds Creek-Big Creek,29.424062728112460,-95.796619254175198
204,120701040502,Varner Creek,29.230738331308999,-95.658063180571276
205,120701040402,Rabbs Bayou-Brazos River,29.589625946380352,-95.716595483994354
211,120701040505,Brazos River-Gulf of Mexico,29.076193719164849,-95.507629987333985
245,120701040208,Lower West Mill Creek,29.941204541856166,-96.395378291974566
246,120701040204,East Mill Creek,30.019720398977256,-96.370730697663532
247,120701040101,Headwaters Caney Creek,30.087912800735239,-96.300031567003202
249,120701040306,Upper Allens Creek,29.700939979596455,-96.080022606058378
250,120701040302,Mulberry Creek-Irons Creek,29.875166579374195,-96.062337850811105
251,120701040105,Threemile Creek-Clear Creek,30.043158716301775,-96.036287779957036
254,120701040501,Cow Creek-Brazos River,29.324157233569508,-95.670611167471350
296,120701040202,Sandy Creek-East Mill Creek,30.128279512889264,-96.500235390750674
300,120701040309,Cottonwood Creek-Brazos River,29.653627464236138,-95.966322362986602
301,120701040102,Browning Branch-Brazos River,30.113044188038884,-96.161551403374517
302,120701040210,Deadman Creek-Mill Creek,29.876310049369351,-96.162219998953731
303,120701040301,Harris Creek-Irons Creek,29.973152276756196,-96.037049796211079
304,120701040104,Ponds Creek-Clear Creek,30.131249762266748,-96.015113394367631
311,120701040504,Lower Dry Bayou,29.115108297809741,-95.607640339230215
346,120701040107,Dry Creek-Piney Creek,29.975267484906567,-96.236870114863848
350,120701040308,Brookshire Creek-Bessies Creek,29.748507859250367,-95.957097265826121
351,120701040103,Gibbs Creek-Caney Creek,30.073269620096937,-96.209674073000031
353,120701040405,Seabourne Creek-Big Creek,29.490831610990085,-95.788310053566079
354,120701040404,Coon Creek-Cottonwood Creek,29.524828262314486,-95.886384424101834
355,120701040408,Dry Creek-Rabbs Bayou,29.515236326295451,-95.696284926008502
