OBJECTID,HUC12,NAME,lat,lng
37,120401030402,Orange Branch-East Fork San Jacinto River,30.153714968171300,-95.113836429007961
78,120401030305,Cobb Creek-East Fork San Jacinto River,30.696248564319831,-95.343353671035061
81,120401030108,Jayhawker Creek,30.350701878289101,-95.183162499050070
125,120401030101,Hegar Branch-Caney Creek,30.518581195265995,-95.453682680411362
131,120401030401,Whiskey Branch-East Fork San Jancito River,30.315169245164611,-95.116287781256062
132,120401030201,Upper Tarkington Bayou,30.428825263175383,-95.071366782650841
133,120401030307,Miller Creek-East Fork San Jacinto River,30.589256474107060,-95.203737746399838
174,120401030106,Boggy Creek-Peach Creek,30.451887698958217,-95.313295482800243
176,120401030301,Boswell Creek,30.640143963673040,-95.375945211702117
177,120401030203,Lower Tarkington Bayou,30.251058225856468,-95.025731397685831
216,120401030110,White Oak Creek-Frontal Lake Houston,30.135343988834052,-95.249582188667034
218,120401030107,Lawrence Creek-Peach Creek,30.365065482186310,-95.238785730377117
219,120401030105,Dry Creek-Caney Creek,30.192264368106180,-95.267490017150521
220,120401030304,Nebletts Creek-Winters Bayou,30.451586514206326,-95.214451588470013
221,120401030308,Oil Creek-East Fork San Jacinto,30.477936470291922,-95.160041873533601
222,120401030306,McCombs Creek-East Fork San Jacinto River,30.665031444945271,-95.262455364123696
264,120401030102,McRae Creek-Caney Creek,30.424655715688800,-95.393743172709208
266,120401030104,Cagle Branch-Caney Creek,30.274817959081588,-95.306728439865594
267,120401030103,West Fork Spring Branch-Spring Branch,30.290107915947601,-95.271158017228686
268,120401030202,Marsh Branch-Tarkington Bayou,30.349057459833944,-95.009133335534955
318,120401030302,Gourd Creek-Winters Bayou,30.629150649183146,-95.443907663108121
319,120401030205,Luce Bayou-Frontal Lake Houston,30.134446985240231,-95.057485942022595
321,120401030109,Gully Branch-Peach Creek,30.223646564337514,-95.180187242247371
366,120401030303,Hopkins Branch-Winters Bayou,30.550543154742854,-95.294786768694394
371,120401030204,Indian Gulley-Luce Bayou,30.212629723582950,-94.942987355482046
